tag1,tag2,tag3,tag4,tag5,tag6,ch,2018,2019,2020,2021,2022,2023,2024,2025
X,1号线,,,,,象峰,Xiangfeng,Xiangfeng,Xiangfeng,Xiangfeng,Xiangfeng,Xiangfeng,Xiangfeng,Xiangfeng
X,1号线,,,,,秀山,Xiushan,Xiushan,Xiushan,Xiushan,Xiushan,Xiushan,Xiushan,Xiushan
L,1号线,,,,,罗汉山,Luohanshan,Luohanshan,Luohanshan,Luohanshan,Luohanshan,Luohanshan,Luohanshan,Luohanshan
F,1号线,,,,,福州火车站,Fuzhou Railway Station,Fuzhou Railway Station,Fuzhou Railway Station,Fuzhou Railway Station,Fuzhou Railway Station,Fuzhou Railway Station,Fuzhou Railway Station,Fuzhou Railway Station
D,1号线,,,,,斗门,Doumen,Doumen,Doumen,Doumen,Doumen,Doumen,Doumen,Doumen
S,1号线,,,,,树兜,Shudou,Shudou,Shudou,Shudou,Shudou,Shudou,Shudou,Shudou
P,1号线,,,,,屏山,Pingshan,Pingshan,Pingshan,Pingshan,Pingshan,Pingshan,Pingshan,Pingshan
D,1号线,,,,,东街口,Dongjiekou,Dongjiekou,Dongjiekou,Dongjiekou,Dongjiekou,Dongjiekou,Dongjiekou,Dongjiekou
N,1号线,,,,,南门兜,Nanmendou,Nanmendou,Nanmendou,Nanmendou,Nanmendou,Nanmendou,Nanmendou,Nanmendou
C,1号线,,,,,茶亭,Chating,Chating,Chating,Chating,Chating,Chating,Chating,Chating
D,1号线,,,,,达道,Dadao,Dadao,Dadao,Dadao,Dadao,Dadao,Dadao,Dadao
S,1号线,,,,,上藤,Shangteng,Shangteng,Shangteng,Shangteng,Shangteng,Shangteng,Shangteng,Shangteng
S,1号线,,,,,三叉街,Sanchajie,Sanchajie,Sanchajie,Sanchajie,Sanchajie,Sanchajie,Sanchajie,Sanchajie
B,1号线,,,,,白湖亭,Baihuting,Baihuting,Baihuting,Baihuting,Baihuting,Baihuting,Baihuting,Baihuting
H,1号线,,,,,葫芦阵,Huluzheng,Huluzheng,Huluzheng,Huluzheng,Huluzheng,Huluzheng,Huluzheng,Huluzheng
H,1号线,,,,,黄山,Huangshan,Huangshan,Huangshan,Huangshan,Huangshan,Huangshan,Huangshan,Huangshan
P,1号线,,,,,排下,Paixia,Paixia,Paixia,Paixia,Paixia,Paixia,Paixia,Paixia
C,1号线,,,,,城门,Chengmen,Chengmen,Chengmen,Chengmen,Chengmen,Chengmen,Chengmen,Chengmen
S,1号线,,,,,三角埕,Sanjiaocheng,Sanjiaocheng,Sanjiaocheng,Sanjiaocheng,Sanjiaocheng,Sanjiaocheng,Sanjiaocheng,Sanjiaocheng
L,1号线,,,,,胪雷,Lulei,Lulei,Lulei,Lulei,Lulei,Lulei,Lulei,Lulei
F,1号线,,,,,福州火车南站,Fuzhou South Railway Station,Fuzhou South Railway Station,Fuzhou South Railway Station,Fuzhou South Railway Station,Fuzhou South Railway Station,Fuzhou South Railway Station,Fuzhou South Railway Station,Fuzhou South Railway Station
A,1号线,,,,,安平,Anping,Anping,Anping,Anping,Anping,Anping,Anping,Anping
L,1号线,,,,,梁厝,Liangcuo,Liangcuo,Liangcuo,Liangcuo,Liangcuo,Liangcuo,Liangcuo,Liangcuo
X,1号线,,,,,下洋,Xiayang,Xiayang,Xiayang,Xiayang,Xiayang,Xiayang,Xiayang,Xiayang
S,1号线,,,,,三江口,Sanjiangkou,Sanjiangkou,Sanjiangkou,Sanjiangkou,Sanjiangkou,Sanjiangkou,Sanjiangkou,Sanjiangkou
S,2号线,,,,,苏洋,Suyang,Suyang,Suyang,Suyang,Suyang,Suyang,Suyang,Suyang
S,2号线,,,,,沙堤,Shadi,Shadi,Shadi,Shadi,Shadi,Shadi,Shadi,Shadi
S,2号线,,,,,上街,Shangjie,Shangjie,Shangjie,Shangjie,Shangjie,Shangjie,Shangjie,Shangjie
J,2号线,,,,,金屿,Jingyu,Jingyu,Jingyu,Jingyu,Jingyu,Jingyu,Jingyu,Jingyu
F,2号线,,,,,福州大学,Fuzhou University,Fuzhou University,Fuzhou University,Fuzhou University,Fuzhou University,Fuzhou University,Fuzhou University,Fuzhou University
D,2号线,,,,,董屿·福建师大,Dongyu/Fujian Normal University,Dongyu/Fujian Normal University,Dongyu/Fujian Normal University,Dongyu/Fujian Normal University,Dongyu/Fujian Normal University,Dongyu/Fujian Normal University,Dongyu/Fujian Normal University,Dongyu/Fujian Normal University
H,2号线,,,,,厚庭,Houting,Houting,Houting,Houting,Houting,Houting,Houting,Houting
J,2号线,,,,,桔园洲,Juyuanzhou,Juyuanzhou,Juyuanzhou,Juyuanzhou,Juyuanzhou,Juyuanzhou,Juyuanzhou,Juyuanzhou
H,2号线,,,,,洪湾,Hongwan,Hongwan,Hongwan,Hongwan,Hongwan,Hongwan,Hongwan,Hongwan
J,2号线,,,,,金山,Jinshan,Jinshan,Jinshan,Jinshan,Jinshan,Jinshan,Jinshan,Jinshan
J,2号线,,,,,金祥,Jinxiang,Jinxiang,Jinxiang,Jinxiang,Jinxiang,Jinxiang,Jinxiang,Jinxiang
X,2号线,,,,,祥坂,Xiangban,Xiangban,Xiangban,Xiangban,Xiangban,Xiangban,Xiangban,Xiangban
