ch,2026,2025
金鐘,金钟,Admiralty
機場,机场,Airport
柯士甸,\,Austin
博覽館,博览馆,AsiaWorld-Expo
銅鑼灣,铜锣湾,Causeway Bay
中環,中环,Central
彩虹,\,Choi Hung
柴灣,柴湾,Chai Wan
第一城,\,City One
車公廟,车公庙,Che Kung Temple
長沙灣,长沙湾,Cheung Sha Wan
鑽石山,钻石山,Diamond Hill
迪士尼,\,Disneyland Resort
尖東,尖东,East Tsim Sha Tsui
會展,会展,Exhibition Centre
粉嶺,粉岭,Fanling
炮台山,\,Fortress Hill
火炭,\,Fo Tan
坑口,\,Hang Hau
恆安,恒安,Heng On
杏花邨,\,Heng Fa Chuen
顯徑,显径,Hin Keng
香港大學,香港大学,HKU
香港,\,Hong Kong
何文田,\,Ho Man Tin
紅磡,红磡,Hung Hom
佐敦,\,Jordan
啟德,启德,Kai Tak
堅尼地城,坚尼地城,Kennedy Town
九龍灣,九龙湾,Kowloon Bay
九龍塘,九龙塘,Kowloon Tong
九龍,九龙,Kowloon
錦上路,锦上路,Kam Sheung Road
葵芳,\,Kwai Fong
葵興,葵兴,Kwai Hing
觀塘,观塘,Kwun Tong
荔景,\,Lai King
藍田,蓝田,Lam Tin
荔枝角,\,Lai Chi Kok
利東,利东,Lei Tung
康城,\,LOHAS Park
落馬洲,落马洲,Lok Ma Chau
樂富,乐富,Lok Fu
朗屏,\,Long Ping
羅湖,罗湖,Lo Wu
美孚,\,Mei Foo
旺角東,旺角东,Mong Kok East
旺角,\,Mong Kok
馬鞍山,马鞍山,Ma On Shan
南昌,\,Nam Cheong
北角,\,North Point
牛頭角,牛头角,Ngau Tau Kok
海洋公園,\,Ocean Park
奧運,奥运,Olympic
寶琳,宝琳,Po Lam
太子,\,Prince Edward
鰂魚涌,鲗鱼涌,Quarry Bay
馬場,马场,Racecourse
石門,石门,Shek Mun
上水,\,Sheung Shui
沙田,\,Sha Tin
上環,上环,Sheung Wan
兆康,\,Siu Hong
石硤尾,\,Shek Kip Mei
筲箕灣,筲箕湾,Shau Kei Wan
海怡半島,海怡半岛,South Horizons
深水埗,\,Sham Shui Po
沙田圍,沙田围,Sha Tin Wai
欣澳,\,Sunny Bay
宋皇臺,宋皇台,Sung Wong Toi
西灣河,西湾河,Sai Wan Ho
西營盤,西营盘,Sai Ying Pun
太古,\,Tai Koo
大埔墟,\,Tai Po Market
大圍,大围,Tai Wai
天后,\,Tin Hau
調景嶺,调景岭,Tiu Keng Leng
天水圍,天水围,Tin Shui Wai
將軍澳,将军澳,Tseung Kwan O
土瓜灣,土瓜湾,To Kwa Wan
大水坑,\,Tai Shui Hang
尖沙咀,\,Tsim Sha Tsui
荃灣,荃湾,Tsuen Wan
青衣,\,Tsing Yi
東涌,东涌,Tung Chung
屯門,屯门,Tuen Mun
大窩口,大窝口,Tai Wo Hau
太和,\,Tai Wo
荃灣西,荃湾西,Tsuen Wan West
大學,大学,University
灣仔,湾仔,Wan Chai
黃竹坑,\,Wong Chuk Hang
香港西九龍,香港西九龙,Hong Kong West Kowloon
黃埔,\,Whampoa
烏溪沙,乌溪沙,Wu Kai Sha
黃大仙,\,Wong Tai Sin
油塘,\,Yau Tong
油麻地,\,Yau Ma Tei
元朗,\,Yuen Long
